epoch,accuracy,fscore,loss,val_accuracy,val_fscore,val_loss
0,0.6384048461914062,0.0,0.47177088260650635,0.8395423889160156,0.0,0.5799844861030579
1,0.8255577087402344,0.0,0.36140671372413635,0.8395423889160156,0.0,0.5785894393920898
2,0.8736457824707031,0.0,0.3175291419029236,0.8395423889160156,0.0,0.5771997570991516
3,0.8969535827636719,0.0,0.29576021432876587,0.8395423889160156,0.0,0.5758904814720154
4,0.9195899963378906,0.0,0.2693897485733032,0.8395423889160156,0.0,0.5747848153114319
5,0.9135551452636719,0.0,0.2632344365119934,0.8395423889160156,0.0,0.5726653933525085
6,0.9298057556152344,0.0,0.23636338114738464,0.8395423889160156,0.0,0.5710019469261169
7,0.9299240112304688,0.0,0.22455832362174988,0.8395423889160156,0.0,0.5697052478790283
8,0.9577980041503906,0.0,0.2076312005519867,0.8395423889160156,0.0,0.5683513283729553
0,0.8659107089042664,0.0,0.1878252774477005,0.707768440246582,0.0,0.47884735465049744
0,0.8659107089042664,0.0,0.1878252774477005,0.707768440246582,0.0,0.47884735465049744
0,0.8659107089042664,0.0,0.1878252774477005,0.707768440246582,0.0,0.47884735465049744
0,0.6749782562255859,0.0,0.3415464460849762,0.707768440246582,0.0,0.48765525221824646
0,0.5890104174613953,0.5871760249137878,0.7265417575836182,0.7143136858940125,0.8288809657096863,0.6875356435775757
1,0.898088276386261,0.9286320805549622,0.41523823142051697,0.7143136858940125,0.8288809657096863,0.6868796944618225
2,0.9508787393569946,0.9689816236495972,0.31444674730300903,0.7143136858940125,0.8288809657096863,0.6866224408149719
3,0.958230197429657,0.9738942384719849,0.2613222599029541,0.7143136858940125,0.8288809657096863,0.6867160201072693
4,0.9607170224189758,0.9753389358520508,0.2254357784986496,0.7143136858940125,0.8288809657096863,0.6866413950920105
5,0.9612760543823242,0.9755560755729675,0.20116856694221497,0.7143136858940125,0.8288809657096863,0.6864339113235474
6,0.963462233543396,0.9766621589660645,0.17852188646793365,0.7143136858940125,0.8288809657096863,0.6861313581466675
7,0.9642688632011414,0.9771280288696289,0.16031748056411743,0.7143136858940125,0.8288809657096863,0.6857599020004272
8,0.9644886255264282,0.9769426584243774,0.15096667408943176,0.7143136858940125,0.8288809657096863,0.6852664947509766
9,0.9663745760917664,0.9780734777450562,0.13385917246341705,0.7143136858940125,0.8288809657096863,0.6846340894699097
10,0.9642575979232788,0.9761174321174622,0.13630902767181396,0.7143136858940125,0.8288809657096863,0.6838881969451904
11,0.964560866355896,0.976710319519043,0.12679754197597504,0.7143136858940125,0.8288809657096863,0.6831533908843994
12,0.9645225405693054,0.9768110513687134,0.12369199842214584,0.7143136858940125,0.8288809657096863,0.6821975111961365
13,0.9645259976387024,0.9765106439590454,0.12326276302337646,0.7143136858940125,0.8288809657096863,0.6811878085136414
14,0.9657018780708313,0.9775421023368835,0.11104752123355865,0.7143136858940125,0.8288809657096863,0.6801444888114929
15,0.965628445148468,0.9776915311813354,0.1053713709115982,0.7143136858940125,0.8288809657096863,0.6790092587471008
16,0.9635944366455078,0.9752559661865234,0.1105080395936966,0.7143136858940125,0.8288809657096863,0.6767265200614929
17,0.9648635983467102,0.9772161245346069,0.09980180114507675,0.7143136858940125,0.8288809657096863,0.6749590635299683
18,0.9651567339897156,0.9773473739624023,0.09665334969758987,0.7143136858940125,0.8288809657096863,0.6730859875679016
19,0.9655343890190125,0.9775772094726562,0.09172885864973068,0.7143136858940125,0.8288809657096863,0.6710954308509827
20,0.9655629992485046,0.9775816202163696,0.09025173634290695,0.7143136858940125,0.8288809657096863,0.6691089868545532
0,0.61134272813797,0.005565714091062546,0.33449065685272217,0.7991549372673035,0.0,0.5714957118034363
1,0.6421506404876709,0.009399686940014362,0.25597336888313293,0.7991549372673035,0.0,0.5702086091041565
2,0.6447096467018127,0.008947635069489479,0.23332300782203674,0.7991549372673035,0.0,0.5691178441047668
3,0.643041729927063,0.01032557524740696,0.22161737084388733,0.7991549372673035,0.0,0.5680068135261536
4,0.6421731114387512,0.012349915690720081,0.2134460210800171,0.7991549372673035,0.0,0.5672175288200378
5,0.6428893804550171,0.014531579799950123,0.20640315115451813,0.7991549372673035,0.0,0.5661242604255676
6,0.6413406133651733,0.013441525399684906,0.20552726089954376,0.7991549372673035,0.0,0.5648622512817383
7,0.6404500007629395,0.014754396863281727,0.1988721489906311,0.7991549372673035,0.0,0.5638620257377625
8,0.6420676112174988,0.017509382218122482,0.19527074694633484,0.7991549372673035,0.0,0.5628582835197449
9,0.641717791557312,0.017112482339143753,0.19392414391040802,0.7991549372673035,0.0,0.561617910861969
10,0.6417016386985779,0.014698903076350689,0.18802259862422943,0.7991549372673035,0.0,0.5604426264762878
11,0.6425837278366089,0.020760688930749893,0.18543270230293274,0.7991549372673035,0.0,0.5589640140533447
12,0.6439622044563293,0.02070099674165249,0.18075035512447357,0.7991549372673035,0.0,0.5576794147491455
13,0.6434458494186401,0.018908534198999405,0.17823278903961182,0.7991549372673035,0.0,0.5562509894371033
14,0.644582211971283,0.022477250546216965,0.17402558028697968,0.7991549372673035,0.0,0.5550292730331421
